Attribute,Requirements (Functional / Non-functional / Business),Component,Class,Functions,Start Date of Code,End Date of Code,Update Date,Team Member(s) Designing / Updating Code,Team Member(s) Testing Code,Complete / Ongoing / Abandoned
DOC-001,Repository landing page and branch guide,Documentation,README.md,N/A,01/26/2026,01/26/2026,,Piyush2005-code,Complete,
FR-001,ARM64 processor initialization (EL3→EL2→EL1 transition),Bootloader,start.S,_start; try_el2; el2_entry; setup_el1; semihosting_puts; exception_handler,02/11/2026,02/12/2026,02/12/2026,Piyush2005-code,,Complete
FR-002,MMU flat/identity-mapped page table setup,Bootloader / MMU,mmu.c,mmu_init,02/11/2026,02/12/2026,,Piyush2005-code,Complete,
FR-021,Basic UART output via PL011 MMIO,Bootloader,main.c,uart_putc; print,02/11/2026,02/12/2026,,Piyush2005-code,Complete,
DC-001,C and ARM64 assembly baremetal build,Build System,Makefile / linker.ld,cross-compilation with aarch64-linux-gnu-*; linker script at 0x40000000,02/11/2026,02/12/2026,02/12/2026,Harshit Saini,,Complete
FR-021,UART binary protocol (START/LEN/CMD/PAYLOAD/CRC) per Appendix F,Communication Interface,uart_protocol.h / uart_protocol.c,uart_pack_message; uart_unpack_message; uart_calculate_crc,02/15/2026,02/15/2026,,Piyush2005-code,Complete,
FR-022,Inference result output via UART protocol,Communication Interface,uart_protocol.h,uart_pack_message (CMD_GET_RESULTS),02/15/2026,02/15/2026,,Piyush2005-code,Complete,
FR-025,Input validation for correctness and safety,Communication Interface,uart_protocol.c,"uart_unpack_message (START_BYTE check, CRC validation, bounds checks)",02/15/2026,02/15/2026,,Piyush2005-code,Complete,
SR-004,CRC integrity checking for data validation,Communication Interface,uart_protocol.c,uart_calculate_crc (XOR-8 checksum),02/15/2026,02/15/2026,,Piyush2005-code,Complete,
FR-001,"ARM64 processor core initialization (SCTLR, TCR, MAIR)",HAL / Bootloader,boot.S,_start; _Lprimary_core; _Lfrom_el3; _Lfrom_el2; _Lat_el1,02/20/2026,02/20/2026,,Piyush2005-code,Complete,
FR-002,MMU configuration with 4KB granularity page tables,HAL / MMU,mmu.c / mmu.h,HAL_MMU_Init; mmu_build_page_tables; write_mair_el1; write_tcr_el1; write_ttbr0_el1,02/20/2026,02/20/2026,,Piyush2005-code,Complete,
FR-003,Data and instruction cache enable with write-back policy,HAL / MMU,mmu.c,"HAL_MMU_Init (SCTLR bits C, I); HAL_MMU_CleanInvalidateDCache; HAL_MMU_InvalidateTLB",02/20/2026,02/20/2026,,Piyush2005-code,Complete,
FR-004,Hardware interrupt handling with configurable priorities,HAL / Exception Handling,vectors.S / main.c,_vector_table; _exception_handler; HAL_Exception_Handler; install_vectors,02/20/2026,02/20/2026,,Piyush2005-code,Complete,
FR-005,Timer services for execution timing (ARM Generic Timer),HAL / Timer,boot.S,"_Lfrom_el2 (cnthctl_el2, cntvoff_el2 timer enable)",02/20/2026,02/20/2026,,Piyush2005-code,Complete,
FR-021,UART serial interface (PL011 at 0x09000000),HAL / UART,uart.c / uart.h,HAL_UART_Init; HAL_UART_PutChar; HAL_UART_GetChar; HAL_UART_PutString; HAL_UART_PutHex; HAL_UART_PutDec,02/20/2026,02/20/2026,,Piyush2005-code,Complete,
DC-001,C11 and ARM64 assembly implementation,Build System,Makefile / linker.ld,Makefile (cross-compiler aarch64-linux-gnu-gcc); linker.ld (memory layout ENTRY=_start),02/20/2026,02/20/2026,,Piyush2005-code,Complete,
SR-003,No dynamic code loading or self-modifying code,HAL / Kernel,main.c,"kernel_main (static initialization, idle loop with WFE)",02/20/2026,02/20/2026,,Piyush2005-code,Complete,
PR-006,Boot time <200ms power-on to inference-ready,HAL / Bootloader,boot.S / main.c,Full boot sequence: _start → EL transition → BSS zero → kernel_main,02/20/2026,02/20/2026,,Piyush2005-code,Complete,
FR-001,ARM64 system register helpers,HAL / Arch,arch.h,arch_enable_irq; arch_disable_irq; arch_irq_save; arch_irq_restore; arch_dsb; arch_isb; arch_get_el,02/23/2026,02/23/2026,,Piyush2005-code,Complete,
FR-030,Freestanding string utility library,Lib,string.h / string.c,memset; memcpy; strlen,02/24/2026,02/24/2026,,Piyush2005-code,Complete,
FR-031,Bump memory allocator,Kernel / Memory,kmem.h / kmem.c,KMEM_Init; KMEM_Alloc; KMEM_GetFreeSpace; KMEM_GetStats,02/24/2026,02/25/2026,02/25/2026,Harshit Saini,,Complete
FR-004,GICv2 interrupt controller driver,HAL / GIC,gic.h / gic.c,HAL_GIC_Init; HAL_GIC_EnableIRQ; HAL_GIC_DisableIRQ; HAL_GIC_Acknowledge; HAL_GIC_EndOfInterrupt,02/26/2026,02/26/2026,02/26/2026,Harshit Saini,,Complete
FR-005,ARM Generic Timer driver,HAL / Timer,timer.h / timer.c,HAL_Timer_Init; HAL_Timer_Enable; HAL_Timer_Disable; HAL_Timer_GetTicks; HAL_Timer_GetElapsedUs; HAL_Timer_DelayUs; HAL_Timer_Reload,02/27/2026,02/27/2026,02/27/2026,Harshit Saini,,Complete
FR-006,"ONNX computation graph ingestion (binary protobuf, v1.8+)",Graph Processing / ONNX Loader,onnx_loader.h / onnx_loader.c,ONNX_LoadProtobuf; ONNX_LoadEmbedded; ONNX_LoadCustomBinary; ONNX_ExportCustomBinary; ONNX_PrintModelInfo,02/27/2026,03/02/2026,03/02/2026,Harshit Saini,,Complete
